time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-12 00:00:00+00:00,65,30,,
2024-01-13 00:00:00+00:00,56,20,1.0,1.0
2024-01-14 00:00:00+00:00,48,19,,
2024-01-15 00:00:00+00:00,67,21,10.0,2.0
2024-01-16 00:00:00+00:00,68,24,,
2024-01-17 00:00:00+00:00,82,32,1.0,1.0
2024-01-18 00:00:00+00:00,94,36,,
2024-01-19 00:00:00+00:00,62,19,3.0,1.0
2024-01-20 00:00:00+00:00,38,9,,
2024-01-21 00:00:00+00:00,59,19,1.0,1.0
2024-01-22 00:00:00+00:00,52,22,4.0,2.0
2024-01-23 00:00:00+00:00,16,6,,
2024-01-24 00:00:00+00:00,3,3,,
