time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-18 00:00:00+00:00,19,12,,
2024-01-19 00:00:00+00:00,62,19,3.0,1.0
2024-01-20 00:00:00+00:00,38,9,,
2024-01-21 00:00:00+00:00,59,19,1.0,1.0
2024-01-22 00:00:00+00:00,52,22,4.0,2.0
2024-01-23 00:00:00+00:00,16,6,,
2024-01-24 00:00:00+00:00,3,3,,
2024-01-26 00:00:00+00:00,67,26,15.0,1.0
2024-01-27 00:00:00+00:00,46,19,1.0,1.0
2024-01-28 00:00:00+00:00,18,7,6.0,1.0
2024-01-29 00:00:00+00:00,58,24,1.0,1.0
2024-01-30 00:00:00+00:00,53,23,6.0,2.0
2024-01-31 00:00:00+00:00,66,25,,
2024-02-01 00:00:00+00:00,44,18,4.0,1.0
